ID,Date,Address,Suite,PermitType,ConstructionCost,OwnerName,Contractor,CleanAddress,MatchType,MatchAddress,parcelId,lat,lng
 186661,2014/12/09 00:00:00.000,3266 ALCOTT PL,,"MECHANICAL, SINGLE FAMILY", 4153.12,RML CONSTRUCTION LLP,STIVERS HVAC INC,3266 ALCOTT PL,Block Level,ALCOTT PL,,-84.393522489673572,38.017625560947529
 187348,2015/02/02 00:00:00.000,3271 ALCOTT PL,,"MECHANICAL, SINGLE FAMILY", 3728.92,RML CONSTRUCTION LLP,STIVERS HVAC INC,3271 ALCOTT PL,Block Level,ALCOTT PL,,-84.393522489673572,38.017625560947529
 187517,2015/02/11 00:00:00.000,3321 ALCOTT PL,,"MECHANICAL, SINGLE FAMILY", 4200.0,BALL HOMES ,CENTRAL KY HEATING & AIR,3321 ALCOTT PL,Block Level,ALCOTT PL,,-84.393522489673572,38.017625560947529
 168994,2012/04/30 00:00:00.000,725 STONE RD,,"GRADING, COMMERCIAL", 0.0,MONTESSORI MIDDLE SCHOOL OF KY,ADVANCED MULCHING TECHNOLOGIES INC,725 STONE RD,Block Level,STONE RD,,-84.533766204041086,38.000716342346514
 169681,2012/05/29 00:00:00.000,675 BYRD THURMAN DR,,REMODELING GOV BUILDING/LOCAL, 61850.0,LFUCG/DIV OF FACILITIES MANAGEMENT,CHURCHILL MCGEE LLP,675 BYRD THURMAN DR,Block Level,BYRD THURMAN DR,,-84.548447976579837,38.066305695767404
 162024,2011/02/07 00:00:00.000,1984 PAVILION WAY,,SIGNS , 5000.0,DRESS BARN,AMERICAN SIGN & GRAPHICS LLC,1984 PAVILION WAY,Block Level,PAVILION WAY,,-84.418825607884571,38.024709486780438
 173926,2013/01/18 00:00:00.000,4385 EVANGELINE LN,,"MECHANICAL, SINGLE FAMILY", 0.0,"BALL HOMES, INC",STIVERS HVAC INC,4385 EVANGELINE LN,Block Level,EVANGELINE LN,,-84.410279006989725,37.986496123856547
 185287,2014/09/17 00:00:00.000,1655 WHARTON WAY,,"MECHANICAL, SINGLE FAMILY", 4112.0,RML CONSTRUCTION ,STIVERS HVAC INC,1655 WHARTON WAY,Block Level,WHARTON WAY,,-84.394532810152739,38.018228347541402
 166269,2011/10/31 00:00:00.000,740-742 LIBERTY RIDGE LN,,DUPLEX, 160000.0,LIBERTY RIDGE SENIOR LIVING,HARGETT CORPORATION,740 LIBERTY RIDGE LN,Block Level,LIBERTY RIDGE LN,,-84.437662770046614,38.017729420076925
 175446,2013/04/12 00:00:00.000,4288 EVANGELINE LN,,"MECHANICAL, SINGLE FAMILY", 0.0,BALL HOMES,STIVERS HVAC INC,4288 EVANGELINE LN,Block Level,EVANGELINE LN,,-84.410733541559296,37.985846398722487
